State Name,State Abrev,Population,High school degree,Bachelors degree,Advanced degree,Unemployment,Gun possession,Dem Vote ,Rep Vote,No Vote,Gun possession total
Montana,MT,1032949.0,0.928,0.295,0.095,0.040,0.012389769,0.358,0.562,0.080,12798
Minnesota,MN,5489594.0,0.924,0.337,0.112,0.039,0.010608981,0.464,0.449,0.087,58239
New Hampshire,NH,1330608.0,0.923,0.349,0.130,0.026,0.017331175,0.470,0.466,0.064,23061
Wyoming,WY,586107.0,0.923,0.257,0.086,0.048,0.211865751,0.216,0.674,0.110,124176
Alaska,AK,738432.0,0.921,0.280,0.101,0.067,0.01682484,0.366,0.513,0.121,12424
Vermont,VT,626042.0,0.918,0.360,0.143,0.031,0.006707218,0.557,0.298,0.145,4199
North Dakota,ND,756927.0,0.917,0.277,0.076,0.030,0.010730229,0.272,0.630,0.098,8122
Maine,ME,1329328.0,0.916,0.290,0.103,0.038,0.009437099,0.478,0.449,0.073,12545
Iowa,IA,3123899.0,0.915,0.267,0.085,0.036,0.009960949,0.417,0.512,0.071,31117
Utah,UT,2995919.0,0.912,0.311,0.104,0.031,0.02576605,0.275,0.455,0.270,77193
Hawaii,HI,1431603.0,0.910,0.308,0.105,0.029,0.005171126,0.610,0.294,0.096,7403
Wisconsin,WI,5771337.0,0.910,0.278,0.094,0.040,0.008615335,0.465,0.472,0.063,49722
South Dakota,SD,858469.0,0.909,0.270,0.080,0.028,0.01396556,0.317,0.615,0.068,11989
Nebraska,NE,1896190.0,0.907,0.293,0.097,0.034,0.008414769,0.337,0.588,0.075,15956
Colorado,CO,5456574.0,0.907,0.381,0.140,0.030,0.013094663,0.482,0.433,0.085,71452
Washington,WA,7170351.0,0.904,0.329,0.120,0.052,0.009543047,0.543,0.381,0.076,68427
Kansas,KS,2911641.0,0.902,0.310,0.110,0.042,0.011960953,0.361,0.567,0.072,34826
Connecticut,CT,3590886.0,0.899,0.376,0.166,0.044,0.013889887,0.546,0.409,0.045,49877
Oregon,OR,4028977.0,0.898,0.308,0.115,0.046,0.012100094,0.501,0.391,0.108,48751
Massachusetts,MA,6794422.0,0.898,0.405,0.177,0.028,0.005067834,0.600,0.328,0.072,34433
Michigan,MI,9922576.0,0.896,0.269,0.105,0.050,0.00481639,0.473,0.475,0.052,47791
Idaho,ID,1654930.0,0.895,0.259,0.082,0.037,0.02692561,0.275,0.593,0.132,44560
Maryland,MD,6006401.0,0.894,0.379,0.173,0.042,0.015753027,0.603,0.339,0.058,94619
District of Columbia,DC,672228.0,0.893,0.546,0.313,0.058,0.067127522,0.905,0.041,0.054,45125
Pennsylvania,PA,12802503.0,0.892,0.286,0.112,0.056,0.017604136,0.479,0.486,0.035,225377
Ohio,OH,11613423.0,0.891,0.261,0.097,0.049,0.01164747,0.436,0.517,0.047,135267
New Jersey,NJ,8958013.0,0.886,0.368,0.140,0.047,0.006096441,0.550,0.410,0.040,54612
Delaware,DE,945934.0,0.884,0.300,0.122,0.043,0.004320597,0.534,0.419,0.047,4087
Missouri,MO,6083672.0,0.884,0.271,0.102,0.044,0.009611794,0.381,0.568,0.051,58475
Virginia,VA,8382993.0,0.883,0.363,0.154,0.041,0.031997402,0.498,0.444,0.058,268234
Illinois,IL,12859995.0,0.879,0.323,0.124,0.057,0.009441761,0.558,0.388,0.054,121421
Indiana,IN,6619680.0,0.878,0.241,0.087,0.040,0.015164781,0.379,0.568,0.053,100386
Oklahoma,OK,3911338.0,0.869,0.241,0.080,0.050,0.014883142,0.289,0.653,0.058,58213
Florida,FL,20271272.0,0.869,0.273,0.098,0.049,0.012549336,0.478,0.490,0.032,254391
Rhode Island,RI,1056298.0,0.862,0.319,0.128,0.050,0.003837932,0.544,0.389,0.067,4054
Arizona,AZ,6828065.0,0.860,0.275,0.102,0.048,0.019934637,0.451,0.487,0.062,136115
North Carolina,NC,10042802.0,0.858,0.284,0.099,0.051,0.012176681,0.462,0.498,0.040,122288
New York,NY,19795791.0,0.856,0.342,0.148,0.049,0.00351994,0.584,0.362,0.054,69680
South Carolina,SC,4896146.0,0.856,0.258,0.093,0.043,0.00782493,0.407,0.549,0.044,38312
Tennessee,TN,6600299.0,0.855,0.249,0.090,0.049,0.01222687,0.347,0.607,0.046,80701
Georgia,GA,10214860.0,0.854,0.288,0.107,0.054,0.016462487,0.456,0.508,0.036,168162
Nevada,NV,2890845.0,0.851,0.230,0.079,0.051,0.022169988,0.479,0.455,0.066,64090
West Virginia,WV,1844128.0,0.850,0.192,0.074,0.059,0.012697058,0.265,0.686,0.049,23415
Arkansas,AR,2978204.0,0.848,0.211,0.075,0.039,0.021967938,0.337,0.606,0.057,65425
Alabama,AL,4858979.0,0.843,0.235,0.087,0.062,0.023547951,0.344,0.621,0.035,114419
New Mexico,NM,2085109.0,0.842,0.263,0.115,0.066,0.04278913,0.483,0.400,0.117,89220
Kentucky,KY,4425092.0,0.842,0.223,0.092,0.048,0.01437891,0.327,0.625,0.048,63628
Louisiana,LA,4670724.0,0.834,0.225,0.077,0.061,0.017257496,0.385,0.581,0.034,80605
Mississippi,MS,2992333.0,0.823,0.207,0.077,0.056,0.008047567,0.401,0.579,0.020,24081
Texas,TX,27469114.0,0.819,0.276,0.094,0.046,0.014677758,0.432,0.522,0.046,403185
California,CA,39144818.0,0.818,0.314,0.116,0.052,0.007977148,0.617,0.316,0.067,312264
